Container contains 10000 elements.
1: This is a ship. Speed: 91, distance to destination: 75.000000, time to distance: 0.824176, ship type: tugboat, displacement: 17684
2: This is a plane. Speed: 51, distance to destination: 1912.000000, time to distance: 37.490196, maximum flight distance: 3918, capacity: 173
3: 4: This is a plane. Speed: 102, distance to destination: 894.000000, time to distance: 8.764706, maximum flight distance: 2873, capacity: 242
5: This is a plane. Speed: 82, distance to destination: 1647.000000, time to distance: 20.085366, maximum flight distance: 2938, capacity: 115
6: This is a plane. Speed: 32, distance to destination: 1542.000000, time to distance: 48.187500, maximum flight distance: 3280, capacity: 209
7: This is a plane. Speed: 115, distance to destination: 101.000000, time to distance: 0.878261, maximum flight distance: 3771, capacity: 190
8: This is a ship. Speed: 120, distance to destination: 1916.000000, time to distance: 15.966667, ship type: liner, displacement: 18634
9: 10: This is a ship. Speed: 190, distance to destination: 99.000000, time to distance: 0.521053, ship type: tugboat, displacement: 1460
11: This is a ship. Speed: 146, distance to destination: 1757.000000, time to distance: 12.034247, ship type: liner, displacement: 31037
12: This is a plane. Speed: 50, distance to destination: 717.000000, time to distance: 14.340000, maximum flight distance: 2150, capacity: 135
13: This is a ship. Speed: 155, distance to destination: 684.000000, time to distance: 4.412903, ship type: liner, displacement: 18160
14: This is a ship. Speed: 135, distance to destination: 433.000000, time to distance: 3.207407, ship type: liner, displacement: 6353
15: 16: 17: This is a ship. Speed: 102, distance to destination: 57.000000, time to distance: 0.558824, ship type: tanker, displacement: 10742
18: This is a ship. Speed: 36, distance to destination: 374.000000, time to distance: 10.388889, ship type: tanker, displacement: 30293
19: This is a ship. Speed: 79, distance to destination: 1169.000000, time to distance: 14.797468, ship type: tugboat, displacement: 11041
20: This is a ship. Speed: 199, distance to destination: 84.000000, time to distance: 0.422111, ship type: liner, displacement: 11221
21: 22: This is a ship. Speed: 68, distance to destination: 1607.000000, time to distance: 23.632353, ship type: liner, displacement: 14084
23: This is a plane. Speed: 154, distance to destination: 505.000000, time to distance: 3.279221, maximum flight distance: 3107, capacity: 191
24: This is a plane. Speed: 195, distance to destination: 595.000000, time to distance: 3.051282, maximum flight distance: 3406, capacity: 101
25: This is a ship. Speed: 107, distance to destination: 610.000000, time to distance: 5.700935, ship type: tugboat, displacement: 27709
26: This is a ship. Speed: 143, distance to destination: 1129.000000, time to distance: 7.895105, ship type: tanker, displacement: 18799
27: 28: This is a ship. Speed: 43, distance to destination: 2000.000000, time to distance: 46.511628, ship type: liner, displacement: 7381
29: 30: This is a ship. Speed: 45, distance to destination: 613.000000, time to distance: 13.622222, ship type: tanker, displacement: 29535
31: This is a ship. Speed: 79, distance to destination: 787.000000, time to distance: 9.962025, ship type: tanker, displacement: 16252
32: This is a ship. Speed: 121, distance to destination: 441.000000, time to distance: 3.644628, ship type: liner, displacement: 27583
33: This is a plane. Speed: 19, distance to destination: 416.000000, time to distance: 21.894737, maximum flight distance: 2141, capacity: 157
34: This is a ship. Speed: 56, distance to destination: 1138.000000, time to distance: 20.321429, ship type: tanker, displacement: 11184
35: 36: 37: 38: This is a ship. Speed: 54, distance to destination: 478.000000, time to distance: 8.851852, ship type: tanker, displacement: 7601
39: This is a plane. Speed: 113, distance to destination: 1081.000000, time to distance: 9.566372, maximum flight distance: 3691, capacity: 159
40: This is a plane. Speed: 16, distance to destination: 622.000000, time to distance: 38.875000, maximum flight distance: 2971, capacity: 174
41: This is a ship. Speed: 97, distance to destination: 1333.000000, time to distance: 13.742268, ship type: liner, displacement: 32055
42: 43: This is a plane. Speed: 175, distance to destination: 1660.000000, time to distance: 9.485714, maximum flight distance: 2267, capacity: 211
44: This is a plane. Speed: 188, distance to destination: 611.000000, time to distance: 3.250000, maximum flight distance: 2170, capacity: 160
45: 46: This is a ship. Speed: 124, distance to destination: 700.000000, time to distance: 5.645161, ship type: tanker, displacement: 25900
47: This is a ship. Speed: 166, distance to destination: 1323.000000, time to distance: 7.969880, ship type: liner, displacement: 18587
