Container contains 1674 elements.
1: This is a plane. Speed: 51, distance to destination: 1912.000000, time to distance: 37.490196, maximum flight distance: 3918, capacity: 173
2: This is a plane. Speed: 32, distance to destination: 1542.000000, time to distance: 48.187500, maximum flight distance: 3280, capacity: 209
3: 4: 5: 6: This is a ship. Speed: 43, distance to destination: 2000.000000, time to distance: 46.511628, ship type: liner, displacement: 7381
7: 8: 9: This is a plane. Speed: 16, distance to destination: 622.000000, time to distance: 38.875000, maximum flight distance: 2971, capacity: 174
10: 11: This is a ship. Speed: 5, distance to destination: 1612.000000, time to distance: 322.400000, ship type: liner, displacement: 3210
12: 13: This is a plane. Speed: 13, distance to destination: 1093.000000, time to distance: 84.076923, maximum flight distance: 3752, capacity: 194
14: 15: This is a plane. Speed: 14, distance to destination: 733.000000, time to distance: 52.357143, maximum flight distance: 2950, capacity: 261
16: This is a ship. Speed: 43, distance to destination: 1581.000000, time to distance: 36.767442, ship type: liner, displacement: 1875
17: This is a ship. Speed: 4, distance to destination: 1872.000000, time to distance: 468.000000, ship type: liner, displacement: 6097
18: 19: This is a ship. Speed: 54, distance to destination: 1840.000000, time to distance: 34.074074, ship type: tanker, displacement: 8944
20: This is a ship. Speed: 36, distance to destination: 1113.000000, time to distance: 30.916667, ship type: tugboat, displacement: 27707
21: 22: This is a plane. Speed: 26, distance to destination: 1233.000000, time to distance: 47.423077, maximum flight distance: 3637, capacity: 108
23: 24: This is a ship. Speed: 13, distance to destination: 520.000000, time to distance: 40.000000, ship type: tanker, displacement: 11720
25: This is a ship. Speed: 11, distance to destination: 1691.000000, time to distance: 153.727273, ship type: tugboat, displacement: 33201
26: This is a plane. Speed: 38, distance to destination: 1744.000000, time to distance: 45.894737, maximum flight distance: 3195, capacity: 173
27: This is a ship. Speed: 28, distance to destination: 1289.000000, time to distance: 46.035714, ship type: liner, displacement: 1824
28: 29: This is a ship. Speed: 5, distance to destination: 1722.000000, time to distance: 344.400000, ship type: liner, displacement: 25650
